x,y,phase_id,grain_id,avg_phi_1,avg_Phi,avg_phi_2
0,100,2,26,4.722248916,127.666674,178.7122321
0,110,2,26,4.722248916,127.666674,178.7122321
0,120,2,26,4.722248916,127.666674,178.7122321
0,130,2,26,4.722248916,127.666674,178.7122321
0,140,2,26,4.722248916,127.666674,178.7122321
0,150,2,26,4.722248916,127.666674,178.7122321
0,160,2,26,4.722248916,127.666674,178.7122321
0,170,2,26,4.722248916,127.666674,178.7122321
0,180,2,26,4.722248916,127.666674,178.7122321
0,190,2,26,4.722248916,127.666674,178.7122321
0,200,2,26,4.722248916,127.666674,178.7122321
0,210,2,26,4.722248916,127.666674,178.7122321
0,220,2,26,4.722248916,127.666674,178.7122321
0,230,2,26,4.722248916,127.666674,178.7122321
0,240,2,26,4.722248916,127.666674,178.7122321
0,250,2,26,4.722248916,127.666674,178.7122321
0,260,2,26,4.722248916,127.666674,178.7122321
0,270,2,26,4.722248916,127.666674,178.7122321
0,280,2,8,74.10726756,160.0466579,202.3001954
0,290,2,8,74.10726756,160.0466579,202.3001954
0,300,2,3,158.1258476,168.5116458,306.8415826
0,310,2,3,158.1258476,168.5116458,306.8415826
0,320,2,3,158.1258476,168.5116458,306.8415826
0,330,2,3,158.1258476,168.5116458,306.8415826
0,340,2,3,158.1258476,168.5116458,306.8415826
0,350,2,3,158.1258476,168.5116458,306.8415826
0,360,2,3,158.1258476,168.5116458,306.8415826
0,370,2,3,158.1258476,168.5116458,306.8415826
0,380,2,3,158.1258476,168.5116458,306.8415826
0,390,2,3,158.1258476,168.5116458,306.8415826
0,400,2,3,158.1258476,168.5116458,306.8415826
0,410,2,3,158.1258476,168.5116458,306.8415826
0,420,2,41,355.2434514,136.5522163,130.7697434
0,430,2,41,355.2434514,136.5522163,130.7697434
0,440,2,41,355.2434514,136.5522163,130.7697434
0,450,2,41,355.2434514,136.5522163,130.7697434
0,460,2,41,355.2434514,136.5522163,130.7697434
0,470,2,41,355.2434514,136.5522163,130.7697434
0,480,2,41,355.2434514,136.5522163,130.7697434
0,490,2,41,355.2434514,136.5522163,130.7697434
0,500,2,41,355.2434514,136.5522163,130.7697434
0,510,2,53,184.1129684,153.0062619,321.4970961
0,520,2,53,184.1129684,153.0062619,321.4970961
0,530,2,53,184.1129684,153.0062619,321.4970961
0,540,2,53,184.1129684,153.0062619,321.4970961
0,550,2,53,184.1129684,153.0062619,321.4970961
0,560,2,53,184.1129684,153.0062619,321.4970961
0,570,2,53,184.1129684,153.0062619,321.4970961
0,580,2,17,355.2368276,135.9688594,130.7287208
0,590,2,17,355.2368276,135.9688594,130.7287208
0,600,2,17,355.2368276,135.9688594,130.7287208
0,610,2,9,184.2079763,153.3048316,321.5443341
0,620,2,9,184.2079763,153.3048316,321.5443341
0,630,2,9,184.2079763,153.3048316,321.5443341
0,640,2,17,355.2368276,135.9688594,130.7287208
0,650,2,17,355.2368276,135.9688594,130.7287208
0,660,2,17,355.2368276,135.9688594,130.7287208
0,670,2,17,355.2368276,135.9688594,130.7287208
0,680,2,17,355.2368276,135.9688594,130.7287208
0,690,2,17,355.2368276,135.9688594,130.7287208
0,700,2,17,355.2368276,135.9688594,130.7287208
0,710,2,17,355.2368276,135.9688594,130.7287208
0,720,2,17,355.2368276,135.9688594,130.7287208
0,730,2,17,355.2368276,135.9688594,130.7287208
